platform,appid,country,currency,initial,final,discount_percent,release_date,type,is_free,genres,categories,ts_collected_utc
steam,1290000,PL,PLN,89.0,89.0,0,"14 Jul, 2022",game,False,"Casual,Indie,Simulation","Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,1898300,CH,CHF,27.99,16.79,40,"20 Jun, 2024",game,False,"Adventure,Simulation,Strategy,Early Access","Single-player,Multi-player,Co-op,Online Co-op,Full controller support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,916440,GB,GBP,49.99,49.99,0,"16 Apr, 2019",game,False,"Simulation,Strategy","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Captions available",2025-11-17T05:02:14Z
steam,2362060,NL,EUR,69.99,69.99,0,"29 Jan, 2026",game,False,"Action,RPG","Single-player,Steam Achievements,Full controller support,Captions available,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,39210,PL,PLN,41.99,41.99,0,"18 Feb, 2014",game,False,"Massively Multiplayer,RPG","Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Adjustable Text Size,Custom Volume Controls,Keyboard Only Option,Save Anytime,Stereo Sound,Surround Sound,Partial Controller Support,Remote Play on Tablet,Family Sharing",2025-11-17T05:02:14Z
steam,2370000,DE,EUR,39.99,35.99,10,"11 Nov, 2025",game,False,Casual,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,VR Supported,Steam Cloud,Remote Play Together,Family Sharing",2025-11-17T05:02:14Z
steam,22380,IT,EUR,9.99,9.99,0,"21 Oct, 2010",game,False,"Action,RPG","Single-player,Steam Achievements,Partial Controller Support,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Family Sharing",2025-11-17T05:02:14Z
steam,2651280,TR,USD,59.99,59.99,0,"30 Jan, 2025",game,False,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Steam Cloud,HDR available,Family Sharing",2025-11-17T05:02:14Z
steam,431960,NZ,NZD,7.39,7.39,0,"16 Nov, 2018",game,False,"Casual,Indie,Animation & Modeling,Design & Illustration,Photo Editing,Utilities","Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Workshop,Includes level editor",2025-11-17T05:02:14Z
steam,1659040,SE,EUR,29.99,5.99,80,"20 Jan, 2022",game,False,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Tracked Controller Support,VR Supported,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,413150,CN,CNY,48.0,48.0,0,"26 Feb, 2016",game,False,"Indie,RPG,Simulation","Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Family Sharing",2025-11-17T05:02:14Z
steam,1623730,FR,EUR,28.99,28.99,0,"18 Jan, 2024",game,False,"Action,Adventure,Indie,RPG,Early Access","Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,2627260,PL,PLN,299.0,299.0,0,"20 Oct, 2025",game,False,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Color Alternatives,Custom Volume Controls,Stereo Sound,Surround Sound,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,1295660,NZ,NZD,129.95,84.46,35,"10 Feb, 2025",game,False,"Simulation,Strategy","Single-player,Multi-player,PvP,Online PvP,LAN PvP,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Adjustable Text Size,Camera Comfort,Chat Text-to-speech,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Mouse Only Option,Narrated Game Menus,Playable without Timed Input,Save Anytime,Stereo Sound,Surround Sound,Touch Only Option,HDR available,Family Sharing",2025-11-17T05:02:14Z
steam,250900,FR,EUR,14.99,14.99,0,"4 Nov, 2014",game,False,Action,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together,Family Sharing",2025-11-17T05:02:14Z
